time_ms,value,temperature_C
5445,259,25.00
5590,259,25.00
5734,259,25.00
5879,259,25.00
6023,260,25.00
6168,259,25.00
6315,259,25.00
6460,259,25.00
6604,259,25.00
6749,260,25.00
6893,259,25.00
7038,259,25.00
7182,259,25.00
7331,260,25.00
7475,258,25.00
7620,258,25.00
7764,259,25.00
7909,259,25.00
8054,260,25.00
8198,258,25.00
8343,259,25.00
8487,259,25.00
8632,259,25.00
8776,259,25.00
8921,259,25.00
9065,259,25.00
9210,259,25.00
9354,259,25.00
9499,258,25.00
9643,259,25.00
9788,259,25.00
9933,259,25.00
10077,258,25.00
10222,258,25.00
10366,258,25.00
10511,260,25.00
10655,259,25.00
10800,258,25.00
10947,259,25.00
11092,259,25.00
11238,259,25.00
11383,258,25.00
11527,259,25.00
11672,259,25.00
11816,259,25.00
11961,259,25.00
12105,259,25.00
12250,258,25.00
12394,259,25.00
12539,259,25.00
12683,259,25.00
12828,258,25.00
12973,259,25.00
13117,259,25.00
13262,260,25.00
13406,260,25.00
13550,259,25.00
13695,259,25.00
13839,258,25.00
13984,259,25.00
14129,259,25.00
14273,259,25.00
14418,259,25.00
14562,258,25.00
14707,259,25.00
14851,259,25.00
14996,258,25.00
15141,259,25.00
15290,259,25.00
15434,259,25.00
15578,259,25.00
15723,258,25.00
15867,259,25.00
16012,259,25.00
16157,258,25.00
16301,259,25.00
16446,259,25.00
16590,260,25.00
16735,259,25.00
16879,259,25.00
17024,259,25.00
17168,259,25.00
17313,259,25.00
17457,259,25.00
17602,259,25.00
17746,259,25.00
17891,258,25.00
18035,259,25.00
18180,259,25.00
18324,259,25.00
18469,258,25.00
18613,258,25.00
18758,259,25.00
18903,259,25.00
19047,259,25.00
19192,259,25.00
19338,258,25.00
19483,258,25.00
19630,258,25.00
19774,258,25.00
19919,258,25.00
20063,258,25.00
20208,258,25.00
20352,258,25.00
20497,259,25.00
20642,259,25.00
20786,259,25.00
20931,258,25.00
21075,259,25.00
21220,260,25.00
21364,258,25.00
21509,259,25.00
21654,259,25.00
21798,259,25.00
21943,259,25.00
22087,258,25.00
22232,258,25.00
22376,258,25.00
22521,258,25.00
22665,259,25.00
22810,259,25.00
22954,259,25.00
23099,259,25.00
23245,259,25.00
23390,258,25.00
23534,259,25.00
23679,259,25.00
23823,259,25.00
23971,259,25.00
24115,259,25.00
24260,258,25.00
24404,258,25.00
24549,258,25.00
24693,259,25.00
24838,259,25.00
24982,258,25.00
25127,259,25.00
25271,260,25.00
25416,259,25.00
25560,259,25.00
25705,259,25.00
25850,258,25.00
25994,259,25.00
26139,258,25.00
26283,259,25.00
26428,258,25.00
26572,258,25.00
26717,259,25.00
26862,259,25.00
27006,258,25.00
27151,259,25.00
27297,259,25.00
27441,259,25.00
27586,259,25.00
27730,259,25.00
27875,259,25.00
28019,259,25.00
28164,259,25.00
28311,258,25.00
28456,258,25.00
28600,259,25.00
28745,259,25.00
28889,259,25.00
29033,258,25.00
29178,258,25.00
29322,259,25.00
29467,259,25.00
29611,259,25.00
29755,259,25.00
29900,258,25.00
30044,259,25.00
30189,258,25.00
30333,259,25.00
30477,260,25.00
30622,259,25.00
30766,259,25.00
30911,259,25.00
31055,258,25.00
31201,259,25.00
31346,259,25.00
